base_price,discounted_price,product_name,category,brand,description
"5,50",3.32,Encens indien myrrhe - 12 cônes,Tout pour la maison,Aromandise,La myrrhe est idéale pour apaiser les angoisses et reposer son esprit. On lui prête beaucoup de propriétés relaxantes.
"7,20",4.90,Perles essentielles thym - 20 ml,Santé,Biofloral,"Antiseptique et stimulant : stimule les défenses naturelles, apaise rapidement les maux de gorge. Votre allié contre les attaques extérieures."
"22,30",15.06,Huile amincissante et tonifiante - 100 ml,Hygiène et beauté,Laboratoire du Haut Ségala,"Appliquée quotidiennement sur les jambes, cuisses, fesses, ventre et hanches, l'huile amincissante affine la silhouette et contribue à stimuler l'épiderme pour activer les fonctions d’élimination grâce aux propriétés des extraits de café et de thé."
"13,15",9.14,Masque fixateur après coloration - 150 ml,Hygiène et beauté,Logona,"Ce masque fixateur coloration "" color conditioner"" à l'huile de graines de bardane, à la bétaïne et aux protéines de blé gaine le cheveu d'un film invisible qui donne brillance et longévité à la couleur."
"11,47",7.97,"Crayon à paupières kajal n° 10 petrol, 1,1 g",Hygiène et beauté,Santé,"En un seul geste, le crayon kajal No.10 Petrol apporte intensité et profondeur au regard."
"15,00",10.27,"Rouge à Lèvres N° 11 Beige, 4,5 g",Hygiène et beauté,Santé,"A la texture fondante, le rouge à lèvres No.11 Beige offre une couleur éclatante et enveloppe les lèvres d'un voile lumineux."
"11,47",7.97,"Crayon à paupières kajal n° 00 blanc, 1,1 g",Hygiène et beauté,Santé,"En un seul geste, le crayon kajal No.00 Blanc apporte intensité et profondeur au regard."
"13,05",8.91,"Crayon Duo contour des lèvres & gloss N°3 Glamourous Look, 4 g",Hygiène et beauté,Santé,Le crayon duo contour des lèvres No.03 Glamorous Look est l’alliance parfaite de deux tracés et de deux textures complémentaires.
"11,35",7.75,"Crayon à sourcils n° 01 blonde - 1,4 g",Hygiène et beauté,Santé,Le crayon à sourcils No.01 Blonde dessine et souligne la ligne des sourcils pour structurer et accentuer le regard.
"13,29",9.52,Trans'Activ - 72 gélules,Santé,Vecteur Santé,"Trans'activ s'utilise en entretien ou en soutien lors d'un changement de mode de vie, un déplacement, un déménagement, en vacances... Il contribue au transit intestinal."
"11,06",7.75,"Crayon correcteur n° 03 beige, 2 g",Hygiène et beauté,Santé,"Grâce au crayon correcteur No.03 Beige cernes, boutons, taches pigmentaires ou cicatrices sont estompés de manière efficace."
"13,10",8.77,Highlighter 01 Nude - 7 g,Hygiène et beauté,Santé,L’highlighter SANTE est une combinaison de 5 nuances douces qui illuminent votre visage. Faites scintiller délicatement votre teint en appliquant l’highlighter sur le dessus des pommettes ou appliquez sur plusieurs zones du visage pour un rendu éclatant. La teinte N°1 Nude rehausse délicatement l’éclat du teint.
"17,08",12.46,"CC Crème n° 30 bronze, 30 ml",Hygiène et beauté,Santé,"Maquillage et soin en un seul produit ! 6 en 1, cette crème correctrice 30 Bronze apporte un soin à la peau et unifie le teint de manière naturelle."
"14,95",10.39,"Rouge à Lèvres N° 10 Brown red, 4,5 g",Hygiène et beauté,Santé,"A la texture fondante, le rouge à lèvres No.10 Brown Red offre une couleur éclatante et enveloppe les lèvres d'un voile lumineux."
"8,53",6.39,Radis Noir Bio 20 Ampoules,Santé,Biotechnie,Ce jus de radis noir 100 % pur et biologique peut se boire durant toute l'année.
"10,38",7.13,Orthosiphon - 200 gélules,Santé,Nat & Form,"Pour perdre du poids, un régime draconien n’est pas toujours une obligation. Avec les gélules d’Orthosiphon bio, perdre du poids devient plus facile."
"14,84",11.58,"Rouge à Lèvres N°24 Raspberry Red, 4,5 g",Hygiène et beauté,Santé,"A la texture fondante, le rouge à lèvres No.24 Raspberry Red offre une couleur éclatante et enveloppe les lèvres d'un voile lumineux."
"30,50",21.74,Silicium organique - 1 L,Santé,Vitasil,"Le Silicium est un oligo-élément très présent dans la nature, c'est le second élément de l'écorce terrestre."
"8,55",5.68,Fleurs de Bach Scleranthe n°28 - Gouttes - 20 ml,Santé,Biofloral,Changement positif: clarté et détermination dans les décisions.
"18,92",13.54,Cellulifit bio 60 comprimés,Santé,Diet Horizon,Cellulifit contribue à réduire l'apparition des cellulites et également à drainer l'excès d'eau dans votre organisme.
"4,75",3.75,Tisane Stress Bio - 32 g,Santé,Romon Nature,Cette tisane de périodes de stress en vous aiderat à retrouver une bonne stabilité émotionnelle.
